점검시행일자,점검종료일자,점검진단결과등급,점검진단결과내용,손상요약내용,조치요약내용,긴급보수도,붕괴유발부재여부,시설물명,안전성평가등급,,
2003-11-29,2003-11-29,B,,,,B,N,왕산소교,A,,
1998-06-18,1998-06-18,B,"
데체적으로 양호",양호,,B,N,고산육교,A,,
2001-12-10,2001-12-10,B,,,,B,N,두현육교,A,,
2000-12-01,2000-12-01,B,,,,A,N,풍무교,A,,
2003-12-01,2003-12-01,B,,,,A,N,송문3교,A,,
1998-06-14,1998-06-14,B,대체적으로 양호,양호,,B,N,초부교,A,,
2000-12-06,2000-12-06,B,,,,A,N,군하교,A,,
2001-12-11,2001-12-11,B,,,,B,N,안중고가차도,A,,
2001-12-11,2001-12-11,B,"
",,,B,N,평택호대교,A,,
2003-11-24,2003-11-24,B,,,,A,N,석근육교,A,,
2000-12-01,2000-12-01,B,,,,A,N,청미교(하),A,,
2001-05-10,2001-05-10,C,"주요부재의 시공상태가 양호하고, 교량상 작용하는 활하중 등 외력에 구조적 결함이나 손상이 없는 상태",양호,,B,N,청미교(하),A,,
2001-12-07,2001-12-07,B,,,,B,N,청미교(하),A,,
2001-12-05,2001-12-05,B,,,,A,N,제요교,A,,
2000-12-08,2000-12-08,B,,,,A,N,후포교,A,,
2000-12-06,2000-12-06,B,,,,A,N,연양육교*,A,,
2000-12-06,2000-12-06,B,,,,A,N,간매육교,A,,
2003-11-28,2003-11-28,B,양호,양호,,C,N,백암교,A,,
2001-12-06,2001-12-06,B,양호,양호,,C,N,두창육교,A,,
2001-12-11,2001-12-11,B,,,,A,N,추팔육교,A,,
2002-11-13,2002-11-13,B,,,,A,N,추팔육교,A,,
2003-11-24,2003-11-24,B,,,,A,N,추팔육교,A,,
2003-12-01,2003-12-01,B,양호,양호,,C,N,진암2교,A,,
2003-12-01,2003-12-01,B,양호,양호,,C,N,진암3교,A,,
2003-11-20,2003-11-20,B,,,,A,N,제암육교,A,,
2003-11-20,2003-11-20,B,,,,A,N,발안교,A,,
2003-11-21,2003-11-21,B,,,,A,N,제암1육교,A,,
2003-11-21,2003-11-21,B,,,,A,N,발안1육교,A,,
2003-11-21,2003-11-21,B,,,,A,N,지월육교,A,,
2003-11-21,2003-11-21,B,,,,A,N,구장육교,A,,
2003-11-21,2003-11-21,B,,,,A,N,율암육교,A,,
2003-11-21,2003-11-21,B,,,,A,N,팔탄육교,A,,
2003-11-21,2003-11-21,B,,,,A,N,자안교,A,,
